hokkaido,,
,A0101,札幌市内（市街地）
,A0102,札幌市内（北部）
,A0103,札幌市内（南部）
,A0104,旭川・富良野・士別
,A0105,函館・松前・檜山
,A0106,小樽・ニセコ・積丹
,A0107,千歳・石狩・夕張・深川
,A0108,洞爺・苫小牧・室蘭・えりも
,A0109,稚内・留萌・音威子府
,A0110,網走・知床斜里・北見・紋別
,A0111,帯広・十勝
,A0112,釧路・根室・阿寒・摩周・知床羅臼
aomori,,
,A0201,青森・東津軽・八甲田山
,A0202,弘前・黒石・中津軽・南津軽
,A0203,八戸・三沢・十和田
,A0204,むつ・下北半島
,A0205,西津軽・北津軽・五所川
iwate,,
,A0301,盛岡・雫石
,A0302,花巻・北上・遠野
,A0303,一関・平泉・奥州
,A0304,三陸海岸沿岸
,A0305,八幡平・二戸
miyagi,,
,A0401,仙台市
,A0402,蔵王・白石・名取
,A0403,大崎・栗原・登米
,A0404,松島・塩釜・南三陸
akita,,
,A0501,秋田市
,A0502,大館・鹿角
,A0503,能代・男鹿半島・八郎潟
,A0504,田沢湖・角館・大曲
,A0505,横手・湯沢
,A0506,由利本荘・象潟
yamagata,,
,A0601,山形・上山
,A0602,米沢・白布・南陽
,A0603,庄内平野・出羽三山・鳥海山
,A0604,新庄・最上
,A0605,天童・寒河江・尾花沢
fukushima,,
,A0701,福島・二本松
,A0702,郡山・三春
,A0703,白河
,A0704,いわき・相馬
,A0705,会津若松周辺
,A0706,喜多方・西会津・只見
,A0707,南会津
ibaraki,,
,A0801,水戸・笠間
,A0802,つくば・土浦・石岡
,A0803,守谷・取手・牛久・稲敷
,A0804,鹿島・水郷周辺
,A0805,北茨城・奥久慈周辺
,A0806,常総・古河
tochigi,,
,A0901,宇都宮・鹿沼
,A0902,小山・佐野・栃木
,A0903,日光・鬼怒川
,A0904,真岡・益子・烏山
,A0905,那須・塩原
gunma,,
,A1001,前橋・高崎
,A1002,桐生・伊勢崎・太田・館林
,A1003,沼田・みなかみ・尾瀬・赤城
,A1004,渋川・伊香保・草津・吾妻
,A1005,富岡・藤岡・安中
saitama,,
,A1101,さいたま市
,A1102,川口・越谷・春日部・三郷
,A1103,和光・新座・志木・川越
,A1104,上尾・久喜・行田
,A1105,熊谷・本庄・東松山・寄居
,A1106,所沢・飯能
,A1107,秩父・長瀞
chiba,,
,A1201,千葉市
,A1202,船橋・市川・浦安
,A1203,柏・松戸
,A1204,成田・佐倉・佐原
,A1205,銚子・九十九里
,A1206,市原・木更津・富津
,A1207,勝浦・鴨川・館山
tokyo,,
,A1301,銀座・新橋・有楽町
,A1302,東京・日本橋
,A1303,渋谷・恵比寿・代官山
,A1304,新宿・代々木・大久保
,A1305,池袋～高田馬場・早稲田
,A1306,原宿・表参道・青山
,A1307,六本木・麻布・広尾
,A1308,赤坂・永田町・溜池
,A1309,四ツ谷・市ヶ谷・飯田橋
,A1310,秋葉原・神田・水道橋
,A1311,上野・浅草・日暮里
,A1312,両国・錦糸町・小岩
,A1313,築地・湾岸・お台場
,A1314,浜松町・田町・品川
,A1315,大井・蒲田
,A1316,目黒・白金・五反田
,A1317,東急沿線
,A1318,京王・小田急沿線
,A1319,中野～西荻窪
,A1320,吉祥寺・三鷹・武蔵境
,A1321,西武沿線
,A1322,板橋・東武沿線
,A1323,大塚・巣鴨・駒込・赤羽
,A1324,千住・綾瀬・葛飾
,A1325,小金井・国分寺・国立
,A1326,調布・府中・狛江
,A1327,町田・稲城・多摩
,A1328,西東京市周辺
,A1329,立川市・八王子市周辺
,A1330,福生・青梅周辺
,A1331,伊豆諸島・小笠原
kanagawa,,
,A1401,横浜駅周辺
,A1402,桜木町・高島町
,A1403,みなとみらい
,A1404,関内・伊勢佐木町
,A1405,元町・中華街・石川町
,A1406,山手・本牧
niigata,,
,A1501,新潟・三条・佐渡
,A1502,長岡・柏崎
,A1503,上越・糸魚川・妙高
,A1504,魚沼・十日町・湯沢
,A1505,五泉・新発田・村上
toyama,,
,A1601,富山
,A1602,黒部・魚津周辺・下新川
,A1603,中新川
,A1604,高岡・氷見
,A1605,砺波
ishikawa,,
,A1701,金沢
,A1702,加賀・白山
,A1703,能登南部
,A1704,能登北部
fukui,,
,A1801,福井・芦原・永平寺
,A1802,武生・鯖江周辺
,A1803,敦賀・若狭周辺
,A1804,大野・勝山
yamanashi,,
,A1901,甲府・山梨・笛吹
,A1902,北杜・小淵沢・南アルプス
,A1903,富士五湖・忍野・富士吉田
,A1904,身延・下部温泉
,A1905,大月・都留・道志
nagano,,
,A2001,長野・志賀高原・北信濃
,A2002,松本・美ヶ原・上高地
,A2003,軽井沢・佐久
,A2004,上田・小諸・蓼科・諏訪
,A2005,安曇野・白馬
,A2006,南信州
,A2007,木曽路
gifu,,
,A2101,岐阜・大垣・揖斐川
,A2102,美濃加茂・郡上
,A2103,多治見・恵那・中津川
,A2104,高山・飛騨・下呂・白川
shizuoka,,
,A2201,静岡市（静岡・清水）
,A2202,浜松・掛川・磐田
,A2203,焼津・藤枝・御前崎
,A2204,富士山周辺
,A2205,沼津・伊豆半島
aichi,,
,A2301,名古屋市
,A2302,一宮・稲沢・愛西
,A2303,犬山・瀬戸・愛知郡
,A2304,大府・常滑・知多
,A2305,豊田・岡崎・西尾
,A2306,田原・豊橋・新城
mie,,
,A2401,津・松阪
,A2402,四日市・鈴鹿・亀山
,A2403,伊勢・志摩・鳥羽
,A2404,伊賀
,A2405,熊野・尾鷲
shiga,,
,A2501,大津市
,A2502,甲賀・湖南
,A2503,湖東
,A2504,湖北
kyoto,,
,A2601,京都駅周辺
,A2602,御所・二条城・河原町
,A2603,祇園・東福寺・銀閣寺・一乗寺
,A2604,西院・太秦・嵐山・京都市西部
,A2605,金閣寺・宝ヶ池・鞍馬・京都市北部
,A2606,鳥羽・伏見・京都市南部
,A2607,宇治・南山城
,A2608,亀岡・丹波・福知山
,A2609,橋立・丹後半島
osaka,,
,A2701,大阪市内（キタ）
,A2702,大阪市内（ミナミ）
,A2703,大阪市内（北東部）
,A2704,大阪市内（南西部）
,A2705,堺・泉南
,A2706,豊中・池田・高槻
,A2707,北河内・東大阪
,A2708,南河内
hyogo,,
,A2801,神戸市
,A2802,宝塚・西宮・尼崎
,A2803,明石・東播磨・北播磨
,A2804,姫路・中播磨・西播磨
,A2805,淡路島
,A2806,丹波篠山
,A2807,城崎・山陰海岸・但馬山地
nara,,
,A2901,奈良市
,A2902,生駒・大和郡山
,A2903,橿原・御所・飛鳥
,A2904,天理・宇陀・山の辺
,A2905,五條・吉野山・大峰
wakayama,,
,A3001,和歌山・高野山下
,A3002,海南・有田路
,A3003,御坊・みなべ
,A3004,白浜・田辺
,A3005,新宮・串本・勝浦
tottori,,
,A3101,鳥取市・鳥取県東部
,A3102,倉吉・三朝周辺
,A3103,米子・境港・大山周辺
shimane,,
,A3201,松江・安来周辺
,A3202,出雲周辺・奥出雲
,A3203,浜田・江津・大田周辺
,A3204,益田・津和野周辺
,A3205,隠岐の島々
okayama,,
,A3301,岡山・吉備
,A3302,倉敷・笠岡・井原
,A3303,高梁・蒜山高原
,A3304,津山・奥津・美作
,A3305,牛窓・備前
hiroshima,,
,A3401,広島市
,A3402,廿日市・宮島・芸北
,A3403,福山・尾道・三原
,A3404,呉・竹原・東広島
,A3405,三次・庄原
yamaguchi,,
,A3501,山口・防府
,A3502,下関
,A3503,萩・長門
,A3504,宇部・小野田
,A3505,周南
,A3506,岩国・柳井
tokushima,,
,A3601,徳島・鳴門
,A3602,阿南・日和佐
,A3603,阿波・美馬
,A3604,三好
kagawa,,
,A3701,高松
,A3702,坂出・丸亀・塩飽諸島
,A3703,観音寺・琴平周辺
,A3704,さぬき・東かがわ
,A3705,小豆島
ehime,,
,A3801,松山・伊予
,A3802,今治・新居浜・しまなみ海道
,A3803,大洲・内子・久万
,A3804,宇和島・愛南
kochi,,
,A3901,高知・南国・嶺北
,A3902,安芸・室戸岬
,A3903,土佐・横浪
,A3904,四万十川流域・足摺岬
fukuoka,,
,A4001,福岡市内（市街地）
,A4002,福岡市内（その他）
,A4003,太宰府・宗像・糟屋郡
,A4004,北九州市内（市街地）
,A4005,北九州市内（その他）
,A4006,北九州市周辺
,A4007,筑豊
,A4008,久留米・筑後
,A4009,前原・志摩・二丈
saga,,
,A4101,佐賀・鳥栖
,A4102,唐津・伊万里・有田
,A4103,武雄・多久・小城
,A4104,嬉野・鹿島
nagasaki,,
,A4201,長崎・西彼杵
,A4202,佐世保・平戸
,A4203,雲仙・島原
,A4204,諫早・大村
,A4205,五島・壱岐・対馬
kumamoto,,
,A4301,熊本周辺・宇土・山都
,A4302,阿蘇
,A4303,菊池・山鹿・玉名
,A4304,八代・水俣・人吉
,A4305,天草
oita,,
,A4401,大分・竹田・臼杵
,A4402,湯布院・別府
,A4403,国東半島
,A4404,中津・宇佐・日田
miyazaki,,
,A4501,宮崎市周辺
,A4502,日南・串間
,A4503,都城・えびの
,A4504,西都・日向・椎葉
,A4505,延岡・高千穂
kagoshima,,
,A4601,鹿児島・南薩摩
,A4602,薩摩川内・出水・北薩摩
,A4603,伊佐・霧島
,A4604,大隅半島
,A4605,諸島・列島
okinawa,,
,A4701,那覇市
,A4702,本島北部
,A4703,本島中部
,A4704,本島南部
,A4705,石垣島・宮古島・先島諸島
,A4706,久米島・慶良間群島
